RNAseq_dataset Gene coloc_posterior
Alasoo_2018_macrophage_naive TCF19 0.0119564423670247
Alasoo_2018_macrophage_naive POU5F1 NA
Alasoo_2018_macrophage_naive HCG27 0.0089082698059628
Alasoo_2018_macrophage_naive HLA-C 0.000467463017738111
Alasoo_2018_macrophage_naive HLA-B 0.00602284953763158
Alasoo_2018_macrophage_naive MICA 0.00100079560612091
Alasoo_2018_macrophage_naive MICB 0.00041886903169987
Alasoo_2018_macrophage_naive MCCD1 NA
Alasoo_2018_macrophage_naive DDX39B 0.018954065205097
Alasoo_2018_macrophage_naive ATP6V1G2-DDX39B NA
Alasoo_2018_macrophage_IFNg HLA-A 0.00662631502807522
Alasoo_2018_macrophage_IFNg ZNRD1 0.0135618129861612
Alasoo_2018_macrophage_IFNg PPP1R11 0.0144644639010064
Alasoo_2018_macrophage_IFNg RNF39 NA
Alasoo_2018_macrophage_IFNg TRIM31 0.0101787760394285
Alasoo_2018_macrophage_IFNg TRIM40 NA
Alasoo_2018_macrophage_IFNg TRIM10 0.00976588087462475
Alasoo_2018_macrophage_IFNg TRIM15 0.0149722291421259
Alasoo_2018_macrophage_IFNg TRIM26 0.00877407667942118
Alasoo_2018_macrophage_IFNg TRIM39 0.0657039587609759
Alasoo_2018_macrophage_IFNg TRIM39-RPP21 NA
Alasoo_2018_macrophage_IFNg RPP21 0.0211303956370363
Alasoo_2018_macrophage_IFNg HLA-E 0.00918285700127326
Alasoo_2018_macrophage_IFNg GNL1 0.00697690775617108
Alasoo_2018_macrophage_IFNg PRR3 0.0162534150414914
Alasoo_2018_macrophage_IFNg ABCF1 0.00662905208196228
Alasoo_2018_macrophage_IFNg PPP1R10 0.0335741953273864
Alasoo_2018_macrophage_IFNg MRPS18B 0.00781471754367015
Alasoo_2018_macrophage_IFNg ATAT1 0.00825022243295251
Alasoo_2018_macrophage_IFNg C6orf136 0.04337038689705
Alasoo_2018_macrophage_IFNg DHX16 0.00849555305572942
Alasoo_2018_macrophage_IFNg PPP1R18 0.0165160385481908
Alasoo_2018_macrophage_IFNg NRM 0.0122169129736357
Alasoo_2018_macrophage_IFNg MDC1 0.00843599184374593
Alasoo_2018_macrophage_IFNg TUBB 0.00628093950348675
Alasoo_2018_macrophage_IFNg FLOT1 0.101963096635166
Alasoo_2018_macrophage_IFNg IER3 0.000208841097451478
Alasoo_2018_macrophage_IFNg DDR1 0.0131175712411549
Alasoo_2018_macrophage_IFNg GTF2H4 NA
Alasoo_2018_macrophage_IFNg VARS2 0.00124096698513188
Alasoo_2018_macrophage_IFNg SFTA2 NA
Alasoo_2018_macrophage_IFNg DPCR1 NA
Alasoo_2018_macrophage_IFNg MUC21 NA
Alasoo_2018_macrophage_IFNg MUC22 NA
Alasoo_2018_macrophage_IFNg C6orf15 NA
Alasoo_2018_macrophage_IFNg PSORS1C1 NA
Alasoo_2018_macrophage_IFNg CDSN NA
Alasoo_2018_macrophage_IFNg PSORS1C2 NA
Alasoo_2018_macrophage_IFNg CCHCR1 0.000449778717040118
Alasoo_2018_macrophage_IFNg TCF19 0.0389560474843474
Alasoo_2018_macrophage_IFNg POU5F1 NA
Alasoo_2018_macrophage_IFNg HCG27 0.00260231447634047
Alasoo_2018_macrophage_IFNg HLA-C 0.000467849429262889
Alasoo_2018_macrophage_IFNg HLA-B 0.000360125387122328
Alasoo_2018_macrophage_IFNg MICA 0.000991516712144845
Alasoo_2018_macrophage_IFNg MICB 0.00042477607353809
Alasoo_2018_macrophage_IFNg MCCD1 NA
Alasoo_2018_macrophage_IFNg DDX39B 0.00930526262568818
Alasoo_2018_macrophage_IFNg ATP6V1G2-DDX39B NA
Alasoo_2018_macrophage_Salmonella HLA-A 0.00453999301761317
Alasoo_2018_macrophage_Salmonella ZNRD1 0.0403599829144952
Alasoo_2018_macrophage_Salmonella PPP1R11 0.0146388452613482
Alasoo_2018_macrophage_Salmonella RNF39 NA
Alasoo_2018_macrophage_Salmonella TRIM31 0.00735749040214674
Alasoo_2018_macrophage_Salmonella TRIM40 NA
Alasoo_2018_macrophage_Salmonella TRIM10 NA
Alasoo_2018_macrophage_Salmonella TRIM15 NA
Alasoo_2018_macrophage_Salmonella TRIM26 0.00846736217226951
Alasoo_2018_macrophage_Salmonella TRIM39 0.0112477395932814
Alasoo_2018_macrophage_Salmonella TRIM39-RPP21 NA
Alasoo_2018_macrophage_Salmonella RPP21 0.00566168746792757
Alasoo_2018_macrophage_Salmonella HLA-E 0.0125965971995051
Alasoo_2018_macrophage_Salmonella GNL1 0.00710131821471955
Alasoo_2018_macrophage_Salmonella PRR3 0.00751450087425856
Alasoo_2018_macrophage_Salmonella ABCF1 0.00456097034323941
Alasoo_2018_macrophage_Salmonella PPP1R10 0.00500886599427887
Alasoo_2018_macrophage_Salmonella MRPS18B 0.00975886108538678
Alasoo_2018_macrophage_Salmonella ATAT1 0.0165068789187789
Alasoo_2018_macrophage_Salmonella C6orf136 0.0137466345567407
Alasoo_2018_macrophage_Salmonella DHX16 0.00773805272097055
Alasoo_2018_macrophage_Salmonella PPP1R18 0.00717704843845217
Alasoo_2018_macrophage_Salmonella NRM 0.00709588791151926
Alasoo_2018_macrophage_Salmonella MDC1 0.0131227062831964
Alasoo_2018_macrophage_Salmonella TUBB 0.0089288828508474
Alasoo_2018_macrophage_Salmonella FLOT1 0.0103731233834531
Alasoo_2018_macrophage_Salmonella IER3 0.0284943893173282
Alasoo_2018_macrophage_Salmonella DDR1 0.0139556968655635
Alasoo_2018_macrophage_Salmonella GTF2H4 NA
Alasoo_2018_macrophage_Salmonella VARS2 0.000215030154427346
Alasoo_2018_macrophage_Salmonella SFTA2 NA
Alasoo_2018_macrophage_Salmonella DPCR1 NA
Alasoo_2018_macrophage_Salmonella MUC21 NA
Alasoo_2018_macrophage_Salmonella MUC22 NA
Alasoo_2018_macrophage_Salmonella C6orf15 NA
Alasoo_2018_macrophage_Salmonella PSORS1C1 NA
Alasoo_2018_macrophage_Salmonella CDSN NA
Alasoo_2018_macrophage_Salmonella PSORS1C2 NA
Alasoo_2018_macrophage_Salmonella CCHCR1 0.000591463413290853
Alasoo_2018_macrophage_Salmonella TCF19 0.0107892796249927
Alasoo_2018_macrophage_Salmonella POU5F1 NA
Alasoo_2018_macrophage_Salmonella HCG27 0.00492437783518008
Alasoo_2018_macrophage_Salmonella HLA-C 0.000468314263751633
Alasoo_2018_macrophage_Salmonella HLA-B 0.00042608318375957
Alasoo_2018_macrophage_Salmonella MICA 0.000997232777720831
Alasoo_2018_macrophage_Salmonella MICB 0.000911540427439053
Alasoo_2018_macrophage_Salmonella MCCD1 NA
Alasoo_2018_macrophage_Salmonella DDX39B 0.00891053117421593
Alasoo_2018_macrophage_Salmonella ATP6V1G2-DDX39B NA
Alasoo_2018_macrophage_IFNg+Salmonella HLA-A 0.00384507765322562
Alasoo_2018_macrophage_IFNg+Salmonella ZNRD1 0.0264398471038636
Alasoo_2018_macrophage_IFNg+Salmonella PPP1R11 0.0111948521464097
Alasoo_2018_macrophage_IFNg+Salmonella RNF39 NA
Alasoo_2018_macrophage_IFNg+Salmonella TRIM31 0.00258207882235851
Alasoo_2018_macrophage_IFNg+Salmonella TRIM40 NA
Alasoo_2018_macrophage_IFNg+Salmonella TRIM10 NA
Alasoo_2018_macrophage_IFNg+Salmonella TRIM15 NA
Alasoo_2018_macrophage_IFNg+Salmonella TRIM26 0.089562371195263
Alasoo_2018_macrophage_IFNg+Salmonella TRIM39 0.0242989980400432
Alasoo_2018_macrophage_IFNg+Salmonella TRIM39-RPP21 NA
Alasoo_2018_macrophage_IFNg+Salmonella RPP21 NA
Alasoo_2018_macrophage_IFNg+Salmonella HLA-E 0.0180077580497823
Alasoo_2018_macrophage_IFNg+Salmonella GNL1 0.0455896061717437
Alasoo_2018_macrophage_IFNg+Salmonella PRR3 0.0633131987687076
Alasoo_2018_macrophage_IFNg+Salmonella ABCF1 0.00694656956322274
Alasoo_2018_macrophage_IFNg+Salmonella PPP1R10 0.0082018338789527
Alasoo_2018_macrophage_IFNg+Salmonella MRPS18B 0.010469053728012
Alasoo_2018_macrophage_IFNg+Salmonella ATAT1 0.00992246210122319
Alasoo_2018_macrophage_IFNg+Salmonella C6orf136 0.0123656265947743
Alasoo_2018_macrophage_IFNg+Salmonella DHX16 0.00788270561288654
Alasoo_2018_macrophage_IFNg+Salmonella PPP1R18 0.0319842927122219
Alasoo_2018_macrophage_IFNg+Salmonella NRM 0.0351948290187958
Alasoo_2018_macrophage_IFNg+Salmonella MDC1 0.0308243444933759
Alasoo_2018_macrophage_IFNg+Salmonella TUBB 0.0312261034309675
Alasoo_2018_macrophage_IFNg+Salmonella FLOT1 0.012525622229529
Alasoo_2018_macrophage_IFNg+Salmonella IER3 0.0187349400308138
Alasoo_2018_macrophage_IFNg+Salmonella DDR1 0.0123603751188235
Alasoo_2018_macrophage_IFNg+Salmonella GTF2H4 NA
Alasoo_2018_macrophage_IFNg+Salmonella VARS2 0.000666229511963561
Alasoo_2018_macrophage_IFNg+Salmonella SFTA2 NA
Alasoo_2018_macrophage_IFNg+Salmonella DPCR1 NA
Alasoo_2018_macrophage_IFNg+Salmonella MUC21 NA
Alasoo_2018_macrophage_IFNg+Salmonella MUC22 NA
Alasoo_2018_macrophage_IFNg+Salmonella C6orf15 NA
Alasoo_2018_macrophage_IFNg+Salmonella PSORS1C1 NA
Alasoo_2018_macrophage_IFNg+Salmonella CDSN NA
Alasoo_2018_macrophage_IFNg+Salmonella PSORS1C2 NA
Alasoo_2018_macrophage_IFNg+Salmonella CCHCR1 0.00297502261849615
Alasoo_2018_macrophage_IFNg+Salmonella TCF19 0.0383857057613911
Alasoo_2018_macrophage_IFNg+Salmonella POU5F1 NA
Alasoo_2018_macrophage_IFNg+Salmonella HCG27 0.00863137381332933
Alasoo_2018_macrophage_IFNg+Salmonella HLA-C 0.000467941003308581
Alasoo_2018_macrophage_IFNg+Salmonella HLA-B 0.000465170955791168
Alasoo_2018_macrophage_IFNg+Salmonella MICA 0.000970382296618433
Alasoo_2018_macrophage_IFNg+Salmonella MICB 0.000426833618932341
Alasoo_2018_macrophage_IFNg+Salmonella MCCD1 NA
Alasoo_2018_macrophage_IFNg+Salmonella DDX39B 0.00965272633860365
Alasoo_2018_macrophage_IFNg+Salmonella ATP6V1G2-DDX39B NA
BLUEPRINT_monocyte HLA-A 0.0057650792477822
BLUEPRINT_monocyte ZNRD1 0.00220236746955561
BLUEPRINT_monocyte PPP1R11 0.0117291955389838
BLUEPRINT_monocyte RNF39 NA
BLUEPRINT_monocyte TRIM31 NA
BLUEPRINT_monocyte TRIM40 NA
BLUEPRINT_monocyte TRIM10 NA
BLUEPRINT_monocyte TRIM15 NA
BLUEPRINT_monocyte TRIM26 0.000736052367017314
BLUEPRINT_monocyte TRIM39 0.0236694553208507
BLUEPRINT_monocyte TRIM39-RPP21 NA
BLUEPRINT_monocyte RPP21 0.000160483048598362
BLUEPRINT_monocyte HLA-E 0.0173102247453005
BLUEPRINT_monocyte GNL1 0.012828293350478
BLUEPRINT_monocyte PRR3 0.00753879017871926
BLUEPRINT_monocyte ABCF1 0.00854732930850969
BLUEPRINT_monocyte PPP1R10 0.0234997396038393
BLUEPRINT_monocyte MRPS18B 0.0514640309293316
BLUEPRINT_monocyte ATAT1 0.00846666191377562
BLUEPRINT_monocyte C6orf136 0.0302424216503222
BLUEPRINT_monocyte DHX16 0.0118903819474792
BLUEPRINT_monocyte PPP1R18 0.0715677402119925
BLUEPRINT_monocyte NRM 0.000105962897610074
BLUEPRINT_monocyte MDC1 0.000246844913590533
BLUEPRINT_monocyte TUBB 0.00842185856245968
BLUEPRINT_monocyte FLOT1 0.000343051251372709
BLUEPRINT_monocyte IER3 0.526144952057381
BLUEPRINT_monocyte DDR1 0.000203426627961214
BLUEPRINT_monocyte GTF2H4 NA
BLUEPRINT_monocyte VARS2 0.000394463821526326
BLUEPRINT_monocyte SFTA2 NA
BLUEPRINT_monocyte DPCR1 NA
BLUEPRINT_monocyte MUC21 NA
BLUEPRINT_monocyte MUC22 NA
BLUEPRINT_monocyte C6orf15 NA
BLUEPRINT_monocyte PSORS1C1 NA
BLUEPRINT_monocyte CDSN NA
BLUEPRINT_monocyte PSORS1C2 NA
BLUEPRINT_monocyte CCHCR1 0.00047217888761572
BLUEPRINT_monocyte TCF19 0.0171361408094311
BLUEPRINT_monocyte POU5F1 NA
BLUEPRINT_monocyte HCG27 0.000783423438364894
BLUEPRINT_monocyte HLA-C 0.000493722503205106
BLUEPRINT_monocyte HLA-B 0.000645711951115587
BLUEPRINT_monocyte MICA 0.00739176028972064
BLUEPRINT_monocyte MICB 0.00070481278450346
BLUEPRINT_monocyte MCCD1 NA
BLUEPRINT_monocyte DDX39B 0.00312739784871143
BLUEPRINT_monocyte ATP6V1G2-DDX39B NA
BLUEPRINT_neutrophil HLA-A 0.00225637398291441
BLUEPRINT_neutrophil ZNRD1 0.0199474836845469
BLUEPRINT_neutrophil PPP1R11 0.0624926334250474
BLUEPRINT_neutrophil RNF39 NA
BLUEPRINT_neutrophil TRIM31 NA
BLUEPRINT_neutrophil TRIM40 NA
BLUEPRINT_neutrophil TRIM10 NA
BLUEPRINT_neutrophil TRIM15 NA
BLUEPRINT_neutrophil TRIM26 0.00524708712625281
BLUEPRINT_neutrophil TRIM39 0.013666771202146
BLUEPRINT_neutrophil TRIM39-RPP21 NA
BLUEPRINT_neutrophil RPP21 0.00778350197267287
BLUEPRINT_neutrophil HLA-E 0.000291642138099478
BLUEPRINT_neutrophil GNL1 0.0100362855687965
BLUEPRINT_neutrophil PRR3 0.00870376486123522
BLUEPRINT_neutrophil ABCF1 9.07141990492258e-05
BLUEPRINT_neutrophil PPP1R10 0.00888022159111049
BLUEPRINT_neutrophil MRPS18B 0.0123577090693055
BLUEPRINT_neutrophil ATAT1 0.00866434303266334
BLUEPRINT_neutrophil C6orf136 0.00907524687030473
BLUEPRINT_neutrophil DHX16 0.0164924300488893
BLUEPRINT_neutrophil PPP1R18 0.0306155588758735
BLUEPRINT_neutrophil NRM 0.0110403498080858
BLUEPRINT_neutrophil MDC1 0.00698619781495203
BLUEPRINT_neutrophil TUBB 0.0101250892888095
BLUEPRINT_neutrophil FLOT1 0.00367636563873973
BLUEPRINT_neutrophil IER3 0.00241023148881349
BLUEPRINT_neutrophil DDR1 NA
BLUEPRINT_neutrophil GTF2H4 NA
BLUEPRINT_neutrophil VARS2 NA
BLUEPRINT_neutrophil SFTA2 NA
BLUEPRINT_neutrophil DPCR1 NA
BLUEPRINT_neutrophil MUC21 NA
BLUEPRINT_neutrophil MUC22 NA
BLUEPRINT_neutrophil C6orf15 NA
BLUEPRINT_neutrophil PSORS1C1 NA
BLUEPRINT_neutrophil CDSN NA
BLUEPRINT_neutrophil PSORS1C2 NA
BLUEPRINT_neutrophil CCHCR1 0.00133128605409276
BLUEPRINT_neutrophil TCF19 0.0107785405409414
BLUEPRINT_neutrophil POU5F1 0.000358152702139042
BLUEPRINT_neutrophil HCG27 0.000350894912356736
BLUEPRINT_neutrophil HLA-C 0.000688076882253083
BLUEPRINT_neutrophil HLA-B 0.00839516051535315
BLUEPRINT_neutrophil MICA 0.0073921129352385
BLUEPRINT_neutrophil MICB 0.000688578211359364
BLUEPRINT_neutrophil MCCD1 NA
BLUEPRINT_neutrophil DDX39B 0.000703802663304663
BLUEPRINT_neutrophil ATP6V1G2-DDX39B NA
BLUEPRINT_T-cell HLA-A 0.00166213302061143
BLUEPRINT_T-cell ZNRD1 0.00679091402044355
BLUEPRINT_T-cell PPP1R11 0.00277392380917441
BLUEPRINT_T-cell RNF39 NA
BLUEPRINT_T-cell TRIM31 NA
BLUEPRINT_T-cell TRIM40 NA
BLUEPRINT_T-cell TRIM10 NA
BLUEPRINT_T-cell TRIM15 NA
BLUEPRINT_T-cell TRIM26 0.0105856158251596
BLUEPRINT_T-cell TRIM39 0.00133497715154083
BLUEPRINT_T-cell TRIM39-RPP21 NA
BLUEPRINT_T-cell RPP21 0.000152071706222758
BLUEPRINT_T-cell HLA-E 0.00774188464032367
BLUEPRINT_T-cell GNL1 0.0101674279936409
BLUEPRINT_T-cell PRR3 0.00886110818126287
BLUEPRINT_T-cell ABCF1 7.86926886878433e-05
BLUEPRINT_T-cell PPP1R10 0.014116595276516
BLUEPRINT_T-cell MRPS18B 0.00759647730219286
BLUEPRINT_T-cell ATAT1 0.00885213045326478
BLUEPRINT_T-cell C6orf136 0.04725614745804
BLUEPRINT_T-cell DHX16 0.0106263047470591
BLUEPRINT_T-cell PPP1R18 0.018504079771804
BLUEPRINT_T-cell NRM 0.0276444097253825
BLUEPRINT_T-cell MDC1 0.000920114785797842
BLUEPRINT_T-cell TUBB 0.00487818923571587
BLUEPRINT_T-cell FLOT1 0.986021515912696
BLUEPRINT_T-cell IER3 0.97459541427276
BLUEPRINT_T-cell DDR1 0.000237205055938095
BLUEPRINT_T-cell GTF2H4 0.0134616749553048
BLUEPRINT_T-cell VARS2 0.00114035149448991
BLUEPRINT_T-cell SFTA2 0.000247812433999489
BLUEPRINT_T-cell DPCR1 NA
BLUEPRINT_T-cell MUC21 NA
BLUEPRINT_T-cell MUC22 NA
BLUEPRINT_T-cell C6orf15 NA
BLUEPRINT_T-cell PSORS1C1 NA
BLUEPRINT_T-cell CDSN NA
BLUEPRINT_T-cell PSORS1C2 NA
BLUEPRINT_T-cell CCHCR1 0.000472181075433464
BLUEPRINT_T-cell TCF19 0.000597444033503583
BLUEPRINT_T-cell POU5F1 NA
BLUEPRINT_T-cell HCG27 0.000996676280896188
BLUEPRINT_T-cell HLA-C 0.000546224537820386
BLUEPRINT_T-cell HLA-B 0.000411577653069448
BLUEPRINT_T-cell MICA 0.0018571695039394
BLUEPRINT_T-cell MICB 0.000597502024645446
BLUEPRINT_T-cell MCCD1 NA
BLUEPRINT_T-cell DDX39B 0.00194013756079243
BLUEPRINT_T-cell ATP6V1G2-DDX39B NA
BrainSeq_brain HLA-A 0.00297120077905621
BrainSeq_brain ZNRD1 0.00190321744047921
BrainSeq_brain PPP1R11 0.012969386283422
BrainSeq_brain RNF39 0.00198800157742931
BrainSeq_brain TRIM31 NA
BrainSeq_brain TRIM40 NA
BrainSeq_brain TRIM10 NA
BrainSeq_brain TRIM15 NA
BrainSeq_brain TRIM26 0.072714453241824
BrainSeq_brain TRIM39 0.0103324588476184
BrainSeq_brain TRIM39-RPP21 NA
BrainSeq_brain RPP21 0.00646419916825297
BrainSeq_brain HLA-E 0.00262718566310148
BrainSeq_brain GNL1 0.0251475918196938
BrainSeq_brain PRR3 0.00512823974886835
BrainSeq_brain ABCF1 0.0251697068270763
BrainSeq_brain PPP1R10 0.00930528725366836
BrainSeq_brain MRPS18B 0.0091393832832314
BrainSeq_brain ATAT1 0.0125965519555662
BrainSeq_brain C6orf136 0.014283432325434
BrainSeq_brain DHX16 0.013944920377943
BrainSeq_brain PPP1R18 0.0104904858401897
BrainSeq_brain NRM 0.0126401310024018
BrainSeq_brain MDC1 0.0560956178030012
BrainSeq_brain TUBB 0.00747905838337573
BrainSeq_brain FLOT1 0.000136696787233696
BrainSeq_brain IER3 0.039432252933379
BrainSeq_brain DDR1 0.0120473975841148
BrainSeq_brain GTF2H4 0.0135292392889063
BrainSeq_brain VARS2 0.000163037020778577
BrainSeq_brain SFTA2 0.000198878756210151
BrainSeq_brain DPCR1 NA
BrainSeq_brain MUC21 NA
BrainSeq_brain MUC22 NA
BrainSeq_brain C6orf15 NA
BrainSeq_brain PSORS1C1 0.00180787641025789
BrainSeq_brain CDSN 0.000312554448292672
BrainSeq_brain PSORS1C2 0.0024250612896877
BrainSeq_brain CCHCR1 0.00944503735946096
BrainSeq_brain TCF19 0.000508933838826272
BrainSeq_brain POU5F1 0.00254921159510429
BrainSeq_brain HCG27 0.000715078289483801
BrainSeq_brain HLA-C 0.000403864875645487
BrainSeq_brain HLA-B 0.000379476106059338
BrainSeq_brain MICA 0.00188539279420752
BrainSeq_brain MICB 0.000292350736589611
BrainSeq_brain MCCD1 0.0118340104846272
BrainSeq_brain DDX39B 0.00590325568353179
BrainSeq_brain ATP6V1G2-DDX39B NA
GENCORD_LCL HLA-A 0.00372590169888817
GENCORD_LCL ZNRD1 0.00202394531399487
GENCORD_LCL PPP1R11 0.0321113273001852
GENCORD_LCL RNF39 0.0156620664772488
GENCORD_LCL TRIM31 0.0317776472507582
GENCORD_LCL TRIM40 NA
GENCORD_LCL TRIM10 NA
GENCORD_LCL TRIM15 NA
GENCORD_LCL TRIM26 0.00681947113511786
GENCORD_LCL TRIM39 0.0226332115759031
GENCORD_LCL TRIM39-RPP21 NA
GENCORD_LCL RPP21 0.0124466002290064
GENCORD_LCL HLA-E 0.0106716100897203
GENCORD_LCL GNL1 0.0462958468536609
GENCORD_LCL PRR3 0.0127270076369596
GENCORD_LCL ABCF1 0.00399310812461655
GENCORD_LCL PPP1R10 0.0107314929031075
GENCORD_LCL MRPS18B 0.0319903184443895
GENCORD_LCL ATAT1 0.00653524329728663
GENCORD_LCL C6orf136 0.0131118130345037
GENCORD_LCL DHX16 0.0052430372622173
GENCORD_LCL PPP1R18 0.0154945256638564
GENCORD_LCL NRM 0.0112950488454682
GENCORD_LCL MDC1 0.0186845164054251
GENCORD_LCL TUBB 0.0560631519642723
GENCORD_LCL FLOT1 0.0108160983339185
GENCORD_LCL IER3 0.0255169658698164
GENCORD_LCL DDR1 0.00641298571735672
GENCORD_LCL GTF2H4 0.016394662441583
GENCORD_LCL VARS2 0.00108050301584499
GENCORD_LCL SFTA2 0.00255231295812244
GENCORD_LCL DPCR1 NA
GENCORD_LCL MUC21 NA
GENCORD_LCL MUC22 NA
GENCORD_LCL C6orf15 NA
GENCORD_LCL PSORS1C1 NA
GENCORD_LCL CDSN NA
GENCORD_LCL PSORS1C2 NA
GENCORD_LCL CCHCR1 0.000339479133138628
GENCORD_LCL TCF19 0.000351742310440321
GENCORD_LCL POU5F1 0.0289344344630006
GENCORD_LCL HCG27 0.000727246859899247
GENCORD_LCL HLA-C 0.000396355401682554
GENCORD_LCL HLA-B 0.000533818451299694
GENCORD_LCL MICA 0.00698389763839807
GENCORD_LCL MICB 0.00116091870930276
GENCORD_LCL MCCD1 0.0420745199770271
GENCORD_LCL DDX39B 0.0125201906260181
GENCORD_LCL ATP6V1G2-DDX39B NA
GENCORD_fibroblast HLA-A 0.00572374306442461
GENCORD_fibroblast ZNRD1 0.0185219381042129
GENCORD_fibroblast PPP1R11 0.0245569243061382
GENCORD_fibroblast RNF39 0.010548863978715
GENCORD_fibroblast TRIM31 NA
GENCORD_fibroblast TRIM40 NA
GENCORD_fibroblast TRIM10 NA
GENCORD_fibroblast TRIM15 NA
GENCORD_fibroblast TRIM26 0.0144488992496794
GENCORD_fibroblast TRIM39 0.001921571032529
GENCORD_fibroblast TRIM39-RPP21 NA
GENCORD_fibroblast RPP21 0.0157949777664957
GENCORD_fibroblast HLA-E 0.0310039567164052
GENCORD_fibroblast GNL1 0.0123962600658454
GENCORD_fibroblast PRR3 0.0181598253642587
GENCORD_fibroblast ABCF1 0.00784779302615005
GENCORD_fibroblast PPP1R10 0.0121948914743102
GENCORD_fibroblast MRPS18B 0.0114174348700526
GENCORD_fibroblast ATAT1 0.0218560202151083
GENCORD_fibroblast C6orf136 0.0121979827404384
GENCORD_fibroblast DHX16 0.0130580691000549
GENCORD_fibroblast PPP1R18 0.950017353931558
GENCORD_fibroblast NRM 0.0215599595301595
GENCORD_fibroblast MDC1 0.0127649038405602
GENCORD_fibroblast TUBB 0.0124381706713734
GENCORD_fibroblast FLOT1 0.0224072932575149
GENCORD_fibroblast IER3 0.0119263330964582
GENCORD_fibroblast DDR1 0.196554563610224
GENCORD_fibroblast GTF2H4 0.013985027688786
GENCORD_fibroblast VARS2 0.00109175826151377
GENCORD_fibroblast SFTA2 NA
GENCORD_fibroblast DPCR1 NA
GENCORD_fibroblast MUC21 NA
GENCORD_fibroblast MUC22 NA
GENCORD_fibroblast C6orf15 NA
GENCORD_fibroblast PSORS1C1 0.00264419960217746
GENCORD_fibroblast CDSN NA
GENCORD_fibroblast PSORS1C2 0.000265520807484481
GENCORD_fibroblast CCHCR1 0.000339788349348402
GENCORD_fibroblast TCF19 0.0181335966000579
GENCORD_fibroblast POU5F1 0.0144832357547913
GENCORD_fibroblast HCG27 NA
GENCORD_fibroblast HLA-C 0.000396458710104175
GENCORD_fibroblast HLA-B 0.000328243190544468
GENCORD_fibroblast MICA 0.000898791766221488
GENCORD_fibroblast MICB 0.000236870112382968
GENCORD_fibroblast MCCD1 0.0676422053061835
GENCORD_fibroblast DDX39B 0.0137168994540789
GENCORD_fibroblast ATP6V1G2-DDX39B NA
GENCORD_T-cell HLA-A 0.00372749377385147
GENCORD_T-cell ZNRD1 0.00283540335864819
GENCORD_T-cell PPP1R11 0.0229553601474388
GENCORD_T-cell RNF39 0.033003846225906
GENCORD_T-cell TRIM31 NA
GENCORD_T-cell TRIM40 NA
GENCORD_T-cell TRIM10 NA
GENCORD_T-cell TRIM15 NA
GENCORD_T-cell TRIM26 0.0196974315803282
GENCORD_T-cell TRIM39 0.0116884950664936
GENCORD_T-cell TRIM39-RPP21 NA
GENCORD_T-cell RPP21 0.0123479694275325
GENCORD_T-cell HLA-E 0.0178344678622906
GENCORD_T-cell GNL1 0.0177766234513349
GENCORD_T-cell PRR3 0.00898559767713449
GENCORD_T-cell ABCF1 0.0232682517059359
GENCORD_T-cell PPP1R10 0.0130858708304808
